Class,Method,URI,Host-Header,Host,Connection,Accept,Accept-Charset,Accept-Language,Cache-control,Cookie,Pragma,User-Agent,Content-Length,Content-Type,POST-Data,GET-Query
Valid,GET,/tienda1/miembros/salir.jsp,HTTP/1.1,localhost:8080,close,"text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5","utf-8, utf-8;q=0.5, *;q=0.5",en,no-cache,JSESSIONID=C3DC32B59BA7D09C644363EAF10E9883,no-cache,Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko),,,,
Valid,POST,/tienda1/publico/anadir.jsp,HTTP/1.1,localhost:8080,close,"text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5","utf-8, utf-8;q=0.5, *;q=0.5",en,no-cache,JSESSIONID=39CBD4055931D53AB8E1145FE125726E,no-cache,Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko),68,application/x-www-form-urlencoded,id=1&nombre=Vino+Rioja&precio=100&cantidad=88&B1=A%F1adir+al+carrito,
Valid,GET,/tienda1/publico/anadir.jsp,HTTP/1.1,localhost:8080,close,"text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5","utf-8, utf-8;q=0.5, *;q=0.5",en,no-cache,JSESSIONID=71330EB2621B4C1B4166D8B2DDF93239,no-cache,Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko),,,,id=3&nombre=Queso+Manchego&precio=39&cantidad=21&B1=A%F1adir+al+carrito
Valid,GET,/tienda1/miembros/imagenes/zarauz.jpg,HTTP/1.1,localhost:8080,close,"text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5","utf-8, utf-8;q=0.5, *;q=0.5",en,no-cache,JSESSIONID=027BAF13292CEF7940E33456FAB4C803,no-cache,Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko),,,,
Valid,GET,/tienda1/publico/miembros.jsp,HTTP/1.1,localhost:8080,close,"text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5","utf-8, utf-8;q=0.5, *;q=0.5",en,no-cache,JSESSIONID=6147C8E6F1CD001E3FD2E0B3B368AC1F,no-cache,Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko),,,,
Valid,GET,/tienda1/publico/pagar.jsp,HTTP/1.1,localhost:8080,close,"text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5","utf-8, utf-8;q=0.5, *;q=0.5",en,no-cache,JSESSIONID=FA5794C82EBA24B238F5B886C69AF206,no-cache,Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko),,,,modo=insertar&precio=945&B1=Pasar+por+caja
Valid,GET,/tienda1/global/titulo.jsp,HTTP/1.1,localhost:8080,close,"text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5","utf-8, utf-8;q=0.5, *;q=0.5",en,no-cache,JSESSIONID=BB791264BC5D3C315616A458D0766ACA,no-cache,Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko),,,,
Valid,GET,/tienda1/publico/miembros.jsp,HTTP/1.1,localhost:8080,close,"text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5","utf-8, utf-8;q=0.5, *;q=0.5",en,no-cache,JSESSIONID=5001C1D491DB2DE70CC41C54100905A4,no-cache,Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko),,,,
Valid,POST,/tienda1/publico/anadir.jsp,HTTP/1.1,localhost:8080,close,"text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5","utf-8, utf-8;q=0.5, *;q=0.5",en,no-cache,JSESSIONID=85ACD1E333924DE900880F1E4D3FF395,no-cache,Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko),71,application/x-www-form-urlencoded,id=1&nombre=Queso+Manchego&precio=85&cantidad=79&B1=A%F1adir+al+carrito,
Valid,GET,/tienda1/global/menum.jsp,HTTP/1.1,localhost:8080,close,"text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5","utf-8, utf-8;q=0.5, *;q=0.5",en,no-cache,JSESSIONID=5404882F472B6FE893B12251186628E8,no-cache,Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko),,,,
